voltage,current [mA],Power [mW],orientation,lamp_height,lamp_tilt,module_tilt,intensity_level,voc_or_isc,efficiency
0.2,57.4,11.48,S,red,30,30,3,1,0.1753180312
0.77,56.8,43.736,S,red,30,30,3,0,0.6679189383
0.8,56.6,45.28,S,red,30,30,3,0,0.6914982972
1.75,56.5,98.875,S,red,30,30,3,0,1.509979994
2.23,56.4,125.772,S,red,30,30,3,0,1.920740367
2.78,56.2,156.236,S,red,30,30,3,0,2.385974558
3.36,55.2,185.472,S,red,30,30,3,0,2.832455216
4.14,55,227.7,S,red,30,30,3,0,3.477344573
4.63,54.6,252.798,S,red,30,30,3,0,3.860631328
5.3,54.4,288.32,S,red,30,30,3,0,4.403109299
6.21,53.8,334.098,S,red,30,30,3,0,5.102212856
5.96,52.7,314.092,S,red,30,30,3,0,4.796689116
9.13,50.2,458.326,S,red,30,30,3,0,6.999373864
10.63,49.5,526.185,S,red,30,30,3,0,8.035689742
13.24,47.3,626.252,S,red,30,30,3,0,9.56387349
15.04,45,676.8,S,red,30,30,3,0,10.33582261
16.19,41.85,677.5515,S,red,30,30,3,0,10.34729922
16.64,38.2,635.648,S,red,30,30,3,0,9.707365495
16.86,35.12,592.1232,S,red,30,30,3,0,9.04267192
17.01,32.52,553.1652,S,red,30,30,3,0,8.447720713
17.13,30.18,516.9834,S,red,30,30,3,0,7.895166537
17.24,28,482.72,S,red,30,30,3,0,7.371909409
17.31,26.82,464.2542,S,red,30,30,3,0,7.089906996
17.33,26.37,456.9921,S,red,30,30,3,0,6.97900307
17.42,24.41,425.2222,S,red,30,30,3,0,6.49382569
17.53,22.7,397.931,S,red,30,30,3,0,6.07704525
17.58,21.72,381.8376,S,red,30,30,3,0,5.831273194
17.64,19.64,346.4496,S,red,30,30,3,0,5.290841618
17.68,18.67,330.0856,S,red,30,30,3,0,5.040937066
17.19,16.72,287.4168,S,red,30,30,3,0,4.389315985
17.27,16.01,276.4927,S,red,30,30,3,0,4.222487439
18.17,15.66,284.5422,S,red,30,30,3,0,4.345416228
18.66,0,0,S,red,30,30,3,2,0
0.387,110.4,42.7248,S,red,30,30,5,1,0.2924893718
0.86,108.9,93.654,S,red,30,30,5,0,0.6411451808
1.91,107.9,206.089,S,red,30,30,5,0,1.410863062
2.8,106.7,298.76,S,red,30,30,5,0,2.04527873
3.21,106.3,341.223,S,red,30,30,5,0,2.335975848
3.98,104.6,416.308,S,red,30,30,5,0,2.849999658
