voltage,current [mA],Power [mW],orientation,lamp_height,lamp_tilt,module_tilt,intensity_level,voc_or_isc
0,206.6,0,S,red,30,30,7,1
0.61,206.5,125.965,S,red,30,30,7,0
2.43,203.1,493.533,S,red,30,30,7,0
4.3,200.1,860.43,S,red,30,30,7,0
6.16,197.2,1214.752,S,red,30,30,7,0
8.08,194.5,1571.56,S,red,30,30,7,0
10.09,191.6,1933.244,S,red,30,30,7,0
11.87,189.7,2251.739,S,red,30,30,7,0
13.63,186.9,2547.447,S,red,30,30,7,0
15.34,184.3,2827.162,S,red,30,30,7,0
16.87,177.7,2997.799,S,red,30,30,7,0
17.31,163.7,2833.647,S,red,30,30,7,0
17.3,162.6,2812.98,S,red,30,30,7,0
17.82,127.2,2266.704,S,red,30,30,7,0
18.44,78,1438.32,S,red,30,30,7,0
18.59,52,966.68,S,red,30,30,7,0
18.6,42.3,786.78,S,red,30,30,7,0
18.8,36.66,689.208,S,red,30,30,7,0
18.85,33.62,633.737,S,red,30,30,7,0
18.9,29.4,555.66,S,red,30,30,7,0
18.94,25.52,483.3488,S,red,30,30,7,0
19.01,22.95,436.2795,S,red,30,30,7,0
19.18,19.92,382.0656,S,red,30,30,7,0
19.25,19.64,378.07,S,red,30,30,7,0
19.51,18.45,359.9595,S,red,30,30,7,0
19.65,17,334.05,S,red,30,30,7,0
19.91,0,0,S,red,30,30,7,2
0,115.2,0,S,red,30,0,7,1
0.51,115.1,58.701,S,red,30,0,7,0
1.28,114,145.92,S,red,30,0,7,0
2.4,113,271.2,S,red,30,0,7,0
3.7,111.9,414.03,S,red,30,0,7,0
4.38,111.1,486.618,S,red,30,0,7,0
5.73,110.1,630.873,S,red,30,0,7,0
6.72,109.6,736.512,S,red,30,0,7,0
7.54,109.1,822.614,S,red,30,0,7,0
8.45,108.1,913.445,S,red,30,0,7,0
9.62,107.5,1034.15,S,red,30,0,7,0
10.58,106.2,1123.596,S,red,30,0,7,0
11.3,105.2,1188.76,S,red,30,0,7,0
11.24,105.2,1182.448,S,red,30,0,7,0
15.1,100.4,1516.04,S,red,30,0,7,0
17.93,72.1,1292.753,S,red,30,0,7,0
18.3,49.5,905.85,S,red,30,0,7,0
18.41,42.35,779.6635,S,red,30,0,7,0
18.51,36.77,680.6127,S,red,30,0,7,0
18.61,31.14,579.5154,S,red,30,0,7,0
18.67,28.52,532.4684,S,red,30,0,7,0
18.73,25.43,476.3039,S,red,30,0,7,0
18.78,22.77,427.6206,S,red,30,0,7,0
18.83,20.58,387.5214,S,red,30,0,7,0
18.88,18.58,350.7904,S,red,30,0,7,0
18.95,16.41,310.9695,S,red,30,0,7,0
19.18,0,0,S,red,30,0,7,2
0,206,0,S,red,30,45,7,1
0.56,205.1,114.856,S,red,30,45,7,0
2.4,204.3,490.32,S,red,30,45,7,0
3.7,203.5,752.95,S,red,30,45,7,0
4.6,203,933.8,S,red,30,45,7,0
7.31,201.6,1473.696,S,red,30,45,7,0
9.63,199.3,1919.259,S,red,30,45,7,0
10.72,195.9,2100.048,S,red,30,45,7,0
11.72,192.3,2253.756,S,red,30,45,7,0
13.57,185,2510.45,S,red,30,45,7,0
16.01,177.01,2833.9301,S,red,30,45,7,0
16.95,162,2745.9,S,red,30,45,7,0
16.9,154,2602.6,S,red,30,45,7,0
17.45,122,2128.9,S,red,30,45,7,0
18.02,67,1207.34,S,red,30,45,7,0
18.14,58.8,1066.632,S,red,30,45,7,0
18.25,48,876,S,red,30,45,7,0
18.34,42.07,771.5638,S,red,30,45,7,0
18.44,37.6,693.344,S,red,30,45,7,0
18.51,31.6,584.916,S,red,30,45,7,0
18.56,29.17,541.3952,S,red,30,45,7,0
18.64,26.41,492.2824,S,red,30,45,7,0
18.71,26.5,495.815,S,red,30,45,7,0
18.75,24.57,460.6875,S,red,30,45,7,0
18.76,22.06,413.8456,S,red,30,45,7,0
18.8,20.15,378.82,S,red,30,45,7,0
18.84,18.18,342.5112,S,red,30,45,7,0
18.88,16.64,314.1632,S,red,30,45,7,0
19.17,0,0,S,red,30,45,7,2
0,162.4,0,S,red,30,60,7,1
0.51,162.6,82.926,S,red,30,60,7,0
1.21,161.2,195.052,S,red,30,60,7,0
1.95,160.6,313.17,S,red,30,60,7,0
3.08,159.8,492.184,S,red,30,60,7,0
4.84,159.1,770.044,S,red,30,60,7,0
6.28,157.6,989.728,S,red,30,60,7,0
7.67,156.6,1201.122,S,red,30,60,7,0
9.5,155.4,1476.3,S,red,30,60,7,0
10.73,153.8,1650.274,S,red,30,60,7,0
11.98,151.3,1812.574,S,red,30,60,7,0
13.65,145.3,1983.345,S,red,30,60,7,0
14.84,141.3,2096.892,S,red,30,60,7,0
15,141.4,2121,S,red,30,60,7,0
16.66,136.1,2267.426,S,red,30,60,7,0
18,71.7,1290.6,S,red,30,60,7,0
18.2,52,946.4,S,red,30,60,7,0
18.32,41.18,754.4176,S,red,30,60,7,0
18.41,33.74,621.1534,S,red,30,60,7,0
18.44,30.4,560.576,S,red,30,60,7,0
18.51,28.05,519.2055,S,red,30,60,7,0
18.56,24.82,460.6592,S,red,30,60,7,0
18.6,22.3,414.78,S,red,30,60,7,0
18.63,20.33,378.7479,S,red,30,60,7,0
18.67,18.3,341.661,S,red,30,60,7,0
18.7,16.49,308.363,S,red,30,60,7,0
18.86,0,0,S,red,30,60,7,2
