voltage,current,intensity
16.95,14.39,1
16.51,15.95,1
15.91,16.83,1
14.92,17.73,1
14.18,18.49,1
12.98,19.24,1
11.85,20.01,1
10.94,20.32,1
10.62,20.66,1
9.46,21.3,1
8.4,21.65,1
6.24,22.2,1
4.37,22.82,1
3.27,23.38,1
2.68,23.83,1
2.392,23.95,1
2.665,23.89,1
2.25,23.96,1
1.998,24.12,1
1.465,24.47,1
1.324,24.51,1
0.78,24.71,1
0.666,24.68,1
18.57,0,1
0,25.07,1
18.61,15.75,3
18.47,18.24,3
18.39,20.12,3
18.22,23.03,3
17.97,26.44,3
17.48,30.46,3
15.3,35.32,3
10.66,39.16,3
4.6,42.4,3
4.87,42,3
4.42,42.3,3
3.759,42.9,3
2.938,43,3
2.108,43.1,3
1.834,42.8,3
1.081,43.1,3
0.56,43.4,3
19.21,0,3
0,43.6,3
