voltage,current,power,bypass
43.1,0.181,7.8011,no
42.9,0.192,8.2368,no
42.7,0.201,8.5827,no
42.6,0.213,9.0738,no
42.4,0.224,9.4976,no
42.1,0.237,9.9777,no
42,0.252,10.584,no
41.8,0.266,11.1188,no
41.4,0.289,11.9646,no
40.8,0.323,13.1784,no
39.7,0.358,14.2126,no
36.79,0.384,14.12736,no
35.42,0.397,14.06174,no
34.25,0.417,14.28225,no
33.11,0.437,14.46907,no
30.14,0.459,13.83426,no
27.53,0.463,12.74639,no
24.3,0.469,11.3967,no
20,0.481,9.62,no
15.5,0.491,7.6105,no
12.2,0.498,6.0756,no
7.1,0.497,3.5287,no
5.12,0.569,2.91328,no
2.3,0.542,1.2466,no
0.4,0.537,0.2148,no
45,0,0,no
0,0.555,0,no
42.7,0.178,7.6006,yes
42.4,0.191,8.0984,yes
42.2,0.204,8.6088,yes
42.1,0.22,9.262,yes
41.9,0.242,10.1398,yes
41.6,0.266,11.0656,yes
41.2,0.287,11.8244,yes
41,0.304,12.464,yes
40.3,0.33,13.299,yes
39.7,0.352,13.9744,yes
39.2,0.363,14.2296,yes
38.3,0.374,14.3242,yes
36.8,0.382,14.0576,yes
35.13,0.397,13.94661,yes
33.53,0.426,14.28378,yes
31.82,0.453,14.41446,yes
23.79,0.374,8.89746,yes
20.4,0.398,8.1192,yes
19.31,0.455,8.78605,yes
18.75,0.555,10.40625,yes
17.81,0.675,12.02175,yes
14.89,0.777,11.56953,yes
11.7,0.79,9.243,yes
6.72,0.843,5.66496,yes
0.5,0.796,0.398,yes
