Duty,V1_input,I1_input,V2_output,I2_output,Pin_mW,Pout_mW,eta2_mppt,eta1_buck,eta_overall,intensity
0.05,16.5761,0.00219043,2.16362,0.0228313,36.30878672,49.39825731,0.1355992981,1.360504213,0.1844834163,1
0.1,16.9886,0.00335341,2.34839,0.0311776,56.96974113,73.21716406,0.2127599847,1.285193905,0.2734378355,1
0.15,16.6079,0.00361613,2.36233,0.0316366,60.05632543,74.73608928,0.2242871852,1.244433267,0.2791104347,1
0.2,11.8076,0.00280223,2.42709,0.00766621,33.08761095,18.60658163,0.1235694504,0.5623428557,0.0694883976,1
0.25,9.50848,0.00283781,1.9473,0.00722356,26.98325963,14.06643839,0.1007720553,0.5213024142,0.05253271573,1
0.3,7.76705,0.00254048,1.94516,0.0064161,19.73203518,12.48034108,0.07369153204,0.6324913249,0.04660925473,1
0.35,6.84525,0.0024348,1.94283,0.00573829,16.6668147,11.14852196,0.06224411714,0.6689053764,0.04163542461,1
0.4,6.21404,0.00231416,1.94127,0.00512953,14.38028281,9.957802703,0.05370480345,0.6924622302,0.03718854797,1
0.45,5.75652,0.00219357,1.94011,0.00465996,12.62732958,9.040834996,0.04715820002,0.7159736301,0.03376402766,1
0.5,5.44831,0.00216606,1.93961,0.00440591,11.80136636,8.545747095,0.04407354634,0.724132006,0.03191506553,1
0.55,5.21991,0.00207551,1.9399,0.0041207,10.8339754,7.99374593,0.04046071468,0.7378405093,0.02985355433,1
0.6,5.00371,0.00199425,1.93898,0.00394406,9.978648668,7.647453459,0.0372663996,0.7663816729,0.02856028566,1
0.65,4.84156,0.00191865,1.93852,0.00361331,9.289259094,7.004473701,0.03469179574,0.7540400833,0.02615900455,1
0.7,4.74463,0.00188686,1.93868,0.00354086,8.952452562,6.864594465,0.0334339534,0.7667836738,0.02563660962,1
0.75,4.63078,0.00179762,1.9391,0.00331214,8.324382744,6.422570674,0.03108835515,0.7715371664,0.02398582144,1
0.8,4.53902,0.00173856,1.93847,0.00317569,7.891358611,6.155979794,0.02947117723,0.7800912489,0.02299020745,1
0.85,4.37042,0.00161525,1.93831,0.00287755,7.059320905,5.577583941,0.02636383768,0.7901020531,0.02083012228,1
0.9,4.23323,0.00144228,1.93738,0.00250575,6.105502964,4.854589935,0.02280169598,0.7951171203,0.01813001884,1
0.95,4.10132,0.00140022,1.93699,0.00244638,5.74275029,4.738613596,0.02144695482,0.8251470735,0.017696892,1
0.995,3.99385,0.00138247,1.93683,0.00231306,5.52137781,4.480004,0.02062021408,0.8113924014,0.01673108502,1
0.05,17.0053,0.0014051,2.17383,0.0228432,23.89414703,49.65723346,0.04421599536,2.078217456,0.0918904534,3
0.1,17.4967,0.0032367,2.34314,0.0298324,56.63156889,69.90148974,0.104796425,1.234320205,0.1293523448,3
0.15,17.3208,0.0038943,2.36567,0.0312991,67.45239144,74.0433419,0.1248203011,1.097712628,0.1370168208,3
0.2,17.1612,0.00436026,2.41003,0.0306301,74.82729391,73.8194599,0.13846752,0.986531198,0.1366025283,3
0.25,16.6171,0.00460758,2.41562,0.030964,76.56461762,74.79725768,0.1416824285,0.9769167535,0.1384119381,3
0.3,12.1431,0.0040914,2.44068,0.00949557,49.68227934,23.17564779,0.09193680068,0.4664771443,0.04288641623,3
0.35,10.1152,0.00405494,1.96855,0.00913272,41.01652909,17.97821596,0.07590087471,0.4383163655,0.03326859554,3
0.4,8.59673,0.00398499,1.96638,0.0088737,34.25788308,17.44906621,0.06339403527,0.5093445548,0.03228940667,3
0.45,7.571,0.00383681,1.96665,0.00824691,29.04848851,16.21878555,0.05375407758,0.5583349215,0.03001277869,3
0.5,6.7702,0.00370537,1.96683,0.00790627,25.08609597,15.55028902,0.04642169071,0.6198768051,0.02877572932,3
0.55,6.17134,0.00354323,1.96346,0.00748081,21.86647703,14.6882712,0.04046380252,0.6717255452,0.02718056981,3
0.6,5.7012,0.00335485,1.96273,0.00686386,19.12667082,13.47190394,0.03539380532,0.7043517434,0.02492968848,3
0.65,5.39222,0.00321432,1.96252,0.00645834,17.33232059,12.67462142,0.03207336951,0.731270885,0.02345432131,3
0.7,5.12217,0.00293959,1.9622,0.00578422,15.05707971,11.34979648,0.02786304804,0.7537847114,0.02100273963,3
0.75,4.90191,0.00283535,1.96193,0.00533497,13.89863052,10.46683769,0.02571934381,0.7530841027,0.01936882896,3
0.8,4.69067,0.00265567,1.96126,0.00488152,12.4568716,9.573929915,0.0230513764,0.7685661556,0.01771650774,3
0.85,4.52474,0.00258637,1.96118,0.0046177,11.70265179,9.056140886,0.02165569655,0.7738537423,0.01675834182,3
0.9,4.37835,0.00249389,1.96127,0.00436558,10.91912328,8.562081087,0.0202057811,0.7841363144,0.01584408672,3
0.95,4.23153,0.00232853,1.96067,0.00397532,9.853244551,7.794290664,0.01823337802,0.7910379798,0.01442329452,3
0.995,4.11702,0.0024282,1.96064,0.00414568,9.996947964,8.128186035,0.01849930045,0.8130667544,0.01504116617,3
