voltage,current,power,connection,limit
42.8,0.178,7.6184,series,1.2
42.3,0.185,7.8255,series,1.2
42.2,0.194,8.1868,series,1.2
42.1,0.201,8.4621,series,1.2
42,0.208,8.736,series,1.2
41.9,0.221,9.2599,series,1.2
41.8,0.237,9.9066,series,1.2
41.7,0.25,10.425,series,1.2
41.6,0.268,11.1488,series,1.2
41.5,0.289,11.9935,series,1.2
41.4,0.308,12.7512,series,1.2
41.2,0.336,13.8432,series,1.2
41.1,0.368,15.1248,series,1.2
41,0.398,16.318,series,1.2
40.7,0.445,18.1115,series,1.2
40.6,0.49,19.894,series,1.2
40.2,0.546,21.9492,series,1.2
39.9,0.611,24.3789,series,1.2
39.4,0.73,28.762,series,1.2
38.3,0.88,33.704,series,1.2
35.16,1.1,38.676,series,1.2
33.07,1.146,37.89822,series,1.2
31.16,1.165,36.3014,series,1.2
27.8,1.18,32.804,series,1.2
17.95,1.197,21.48615,series,1.2
18.16,1.194,21.68304,series,1.2
10.72,1.209,12.96048,series,1.2
5.23,1.228,6.42244,series,1.2
0.569,1.199,0.682231,series,1.2
45.1,0,0,series,1.2
0,1.199,0,series,1.2
20.96,0.089,1.86544,parallel,0.4
20.93,0.092,1.92556,parallel,0.4
20.89,0.098,2.04722,parallel,0.4
20.87,0.102,2.12874,parallel,0.4
20.84,0.11,2.2924,parallel,0.4
20.8,0.118,2.4544,parallel,0.4
20.77,0.127,2.63779,parallel,0.4
20.72,0.139,2.88008,parallel,0.4
20.68,0.147,3.03996,parallel,0.4
20.64,0.159,3.28176,parallel,0.4
20.6,0.172,3.5432,parallel,0.4
20.54,0.194,3.98476,parallel,0.4
20.47,0.216,4.42152,parallel,0.4
20.41,0.236,4.81676,parallel,0.4
20.36,0.255,5.1918,parallel,0.4
20.28,0.278,5.63784,parallel,0.4
20.23,0.298,6.02854,parallel,0.4
20.14,0.327,6.58578,parallel,0.4
20.05,0.352,7.0576,parallel,0.4
19.95,0.387,7.72065,parallel,0.4
19.82,0.423,8.38386,parallel,0.4
19.57,0.487,9.53059,parallel,0.4
19.31,0.543,10.48533,parallel,0.4
19.02,0.595,11.3169,parallel,0.4
18.36,0.675,12.393,parallel,0.4
16.79,0.748,12.55892,parallel,0.4
14.77,0.775,11.44675,parallel,0.4
12.57,0.855,10.74735,parallel,0.4
10.6,0.965,10.229,parallel,0.4
11.31,0.987,11.16297,parallel,0.4
0.4,0.782,0.3128,parallel,0.4
21.67,0,0,parallel,0.4
0,0.79,0,parallel,0.4
